,BBC_Date,BBC_Tweet Text,BBC_Compound,BBC_Positive,BBC_Neutral,BBC_Negative,CBS_Date,CBS_Tweet Text,CBS_Compound,CBS_Positive,CBS_Neutral,CBS_Negative,CNN_Date,CNN_Tweet Text,CNN_Compound,CNN_Positive,CNN_Neutral,CNN_Negative,FOXTV_Date,FOXTV_Tweet Text,FOXTV_Compound,FOXTV_Positive,FOXTV_Neutral,FOXTV_Negative,nytimes_Date,nytimes_Tweet Text,nytimes_Compound,nytimes_Positive,nytimes_Neutral,nytimes_Negative
30,2018-01-17 08:20:04,💭🎨 Inside the mind of @Gorillaz artist @JamieHewlett. 👉 https://t.co/6MVk4LGpP3 https://t.co/OpGIkIeG4E,0.0,0.0,1.0,0.0,2018-01-05 18:30:42,"The streak of new episodes continues! Watch new episodes of #MacGyver, #H50 &amp; #BlueBloods tonight starting at 8/7c.… https://t.co/xs2vbVqBJZ",0.0,0.0,1.0,0.0,2018-01-17 17:40:10,North and South Korean athletes will march together at the Winter Olympics opening ceremony under a unified flag… https://t.co/9sl8gySQtQ,0.3818,0.133,0.867,0.0,2018-01-12 21:26:01,When you wanna go out but your bank account says -$42.73. 🙃 #ScreamQueens https://t.co/fnh7kNYdFI,0.0,0.0,1.0,0.0,2018-01-17 13:57:10,"Breaking News: North and South Korean athletes will march under one flag at the Winter Olympics, a move Seoul has s… https://t.co/HHpDCRJuQo",0.0,0.0,1.0,0.0
31,2018-01-17 08:00:03,"Could you write a 500 word story? ✍️

@BBCRadio2 have launched their children's writing competition '500 Words' &amp;… https://t.co/STW41C7ofa",0.128,0.081,0.919,0.0,2018-01-05 16:05:58,"RT @CBSTweet: #CBSRatingsNews: CBS Sweeps Fourth Quarter Ratings in Daytime, Primetime and Late Night for the First Time Since 2009 https:/…",0.0,0.0,1.0,0.0,2018-01-17 17:30:19,8 scathing quotes from Sen. Jeff Flake's Senate floor speech ripping President Trump for his attacks on the truth… https://t.co/bObWTVjmmz,-0.4404,0.0,0.861,0.139,2018-01-12 18:00:04,You don't mess with Athena. 💁 #911onFOX https://t.co/RzskCqEVQT,0.2755,0.26,0.74,0.0,2018-01-17 13:51:04,The Trump administration is taking its campaign against illegal immigration to the workplace https://t.co/N1uLkkV1OM,-0.5574,0.0,0.783,0.217
32,2018-01-17 07:38:10,📸 Temples of stone: In the footsteps of George Rodger. https://t.co/7YVa4kS0B7 https://t.co/90eHBUsRcm,0.0,0.0,1.0,0.0,2018-01-04 23:13:02,"New year, new episodes! Don't miss all-new episodes of @BigBangTheory, @YoungSheldon, @MomCBS, @LifeInPiecesCBS, an… https://t.co/COf6Qg8Mz1",0.1867,0.11,0.89,0.0,2018-01-17 17:20:55,"Jorge Garcia was brought to the US when he was 10 years old and has lived there for 30 years. On Monday, he was sep… https://t.co/wtLGkcKBT7",0.0,0.0,1.0,0.0,2018-01-12 14:04:05,Which All-Star will earn a Black Jacket? Find out tonight at 8/7c. #HellsKitchen https://t.co/WlaVwCuU2X,0.0,0.0,1.0,0.0,2018-01-17 13:40:00,Jerry Chun Shing Lee is suspected of identifying agency informants to the Chinese government. Read the case against… https://t.co/6NANnpaKnr,-0.2263,0.0,0.905,0.095
33,2018-01-16 19:24:04,Andrew Graham-Dixon explores the history of the dazzling collection of art and decorative objects owned by the Quee… https://t.co/FRgAsFC2Jg,0.0,0.0,1.0,0.0,2018-01-04 14:43:09,"Current nominees @LadyGaga, @LittleBigTown, @Pink, Childish Gambino and more will perform live at the #GRAMMYs, Jan… https://t.co/PlLMasNPwD",-0.296,0.0,0.879,0.121,2018-01-17 17:10:58,"For decades, an aunt of the children held captive in California begged to see her nieces and nephews, but her siste… https://t.co/zolOJ4NRpd",0.0,0.0,1.0,0.0,2018-01-12 04:14:06,"RT @TheFourOnFOX: Get it, @meghan_trainor! 🙆🏼‍♀️ #TheFour https://t.co/ihSMjdw78G",0.0,0.0,1.0,0.0,2018-01-17 13:31:05,The White House physician gave President Trump high marks in both physical and mental fitness. Late-night hosts wer… https://t.co/q9VjUSQHgp,0.2732,0.104,0.896,0.0
34,2018-01-16 19:00:09,"This caterpillar keeps its old heads and wears them as hats! 🐛🎩 

#QI https://t.co/RoMRWaheh0",0.0,0.0,1.0,0.0,2018-01-03 20:33:09,"RT @startrekcbs: From Airiam to Zefram Cochrane, #StarTrekDiscovery features fascinating new concepts along with classic references. What's…",0.5423,0.179,0.821,0.0,2018-01-17 17:00:13,"Sen. John McCain tells President Trump to stop attacking the media, saying in a Washington Post op-ed that the admi… https://t.co/TSrZK5dipA",-0.6369,0.0,0.776,0.224,2018-01-12 01:38:40,"RT @TheSimpsons: Happy milk day!
Have a cow, man! 
Check out our latest #NationalMilkDay Instagram: https://t.co/bykuvoE95V
#TheSimpsons ht…",0.6467,0.211,0.789,0.0,2018-01-17 13:20:11,"Tyler Hilinski, a Washington State quarterback, was found dead in an apartment on Tuesday https://t.co/rqsE8gFZxY",-0.6486,0.0,0.751,0.249
35,2018-01-16 18:33:07,Here is a selection of some of the most striking photographs taken around the world last week. 📸… https://t.co/bEGkDPZbwv,0.0,0.0,1.0,0.0,2018-01-03 19:51:15,Torres and Bishop went undercover as a criminal couple on the latest episode of #NCIS. Catch up now:… https://t.co/1iTEneHyJS,-0.5267,0.0,0.833,0.167,2018-01-17 16:50:08,Shutdown watch: Are there enough House Republicans to keep the government open? https://t.co/26euiDtl5x https://t.co/J7zudW9Xhj,0.0,0.0,1.0,0.0,2018-01-12 00:00:02,"It's priority #1 always, kids. #TheMick https://t.co/ByiNSJysDu",0.0,0.0,1.0,0.0,2018-01-17 13:11:03,Trump's tweet about his approval among Black Americans demonstrates how inaccurate information can trickle to the p… https://t.co/yYaUslyobt,0.4767,0.154,0.846,0.0
36,2018-01-16 18:00:07,"Going dairy-free? 🙅🐮

You don't have to miss out on a creamy pudding for afters with these 5 vegan pudding recipes.… https://t.co/lCbx4LPc66",0.1139,0.071,0.929,0.0,2018-01-03 15:00:05,Do you know all the nominees for Artist Of The Year? Get familiar with this year's GRAMMY® Award nominees ahead of… https://t.co/UQa8Mu9PUV,0.5423,0.143,0.857,0.0,2018-01-17 16:40:08,Sweden is preparing to issue leaflets to 4.7 million households this spring in order to warn citizens of potential… https://t.co/YZIdKUhhVK,-0.1027,0.0,0.931,0.069,2018-01-11 21:32:01,Prepare for a wild ride. Stream last night's #911onFOX now: https://t.co/GH0XNbfn1s,0.0,0.0,1.0,0.0,2018-01-17 13:00:26,Morning Briefing: Here's what you need to know to start your day https://t.co/q265vzgLwr https://t.co/s0UP0W0ahA,0.0,0.0,1.0,0.0
37,2018-01-16 17:30:08,"Five months after noticing a swelling in her stomach, Jasmine is having a tumour removed that's A THIRD of her body… https://t.co/WigJwzG3nc",0.0,0.0,1.0,0.0,2018-01-03 12:00:01,"The new year of new episodes continues tonight with all-new episodes of #AmazingRace, #SEALTeam and #CriminalMinds… https://t.co/bwhNhQgsFC",0.0,0.0,1.0,0.0,2018-01-17 16:30:12,Democrats have now won 34 Republican state legislative seats since Trump became president | Analysis by… https://t.co/mcJNh7COVG,0.5719,0.198,0.802,0.0,2018-01-11 19:06:14,RT @thexfiles: When someone hits on Scully... 🤢 #TheXFiles https://t.co/nQc4EuAsmQ,0.0,0.0,1.0,0.0,2018-01-17 12:49:06,"""The common thread of all great Awl pieces is that the writing is so indicative of who the writer is and what their… https://t.co/bCLWmhL9hW",0.6249,0.151,0.849,0.0
38,2018-01-16 17:17:56,"🇫🇷🥖 'The baguette is the envy of the whole world.'

France's President, Emmanuel Macron thinks the French baguette… https://t.co/K8io3kL2pa",-0.2732,0.0,0.896,0.104,2018-01-03 00:47:26,"RT @BullCBS: Tonight, can #Bull prove that a teen accused of robbing a jewelry store isn't responsible for the crime? Tune in at 9/8c or st…",-0.7692,0.0,0.733,0.267,2018-01-17 16:20:33,"McDonald's is going green. By 2025, the fast food chain plans to use renewable, recyclable or certified materials i… https://t.co/0HqLWUSCXF",0.0,0.0,1.0,0.0,2018-01-11 18:58:53,RT @djkhaled: Fan luv tune in !!! To #TheFour TODAY THURSDAY AT 8oclk est !!! https://t.co/Z10bYu0gih,0.5374,0.188,0.812,0.0,2018-01-17 12:41:01,"Drag is a job with long hours and scant immediate return. There's no union, there's no health care, but there are c… https://t.co/FVyEnXckGk",-0.1406,0.085,0.727,0.188
39,2018-01-16 17:00:38,"✍🎵 Someone has managed to play the Star Wars Cantina theme song using a pencil, and scoring the tune with Algebra.… https://t.co/E7CBIPnNyP",-0.296,0.096,0.76,0.144,2018-01-02 22:41:51,It's your last chance to choose the pro football player with the best off-the-field talent! Vote now to decide who… https://t.co/6DjwqU0MB9,0.8516,0.34,0.66,0.0,2018-01-17 16:20:29,"After years fighting Iran-backed rebels in Yemen, Saudi Arabia is handing over $2 billion to its war-torn neighbor… https://t.co/IbB0YU8JsG",-0.5106,0.0,0.798,0.202,2018-01-11 18:58:02,RT @ResidentFOX: RETWEET if you're ready to see what goes on behind the curtain. 💉 #TheResident premieres January 21 at 10/9c. https://t.co…,0.3612,0.111,0.889,0.0,2018-01-17 12:31:06,"Pope Francis said that he was ""pained and ashamed"" over the ""irreparable damage"" priests had inflicted on minors https://t.co/IsCdt978mc",-0.8442,0.0,0.637,0.363
